City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Fortuna,US,40.5982,-124.1573,52.36,75,90,0.0,overcast clouds
294,Fare,PF,-16.7,-151.0167,81.37,69,82,18.28,broken clouds
295,Bilibino,RU,68.0546,166.4372,-20.85,97,100,9.73,overcast clouds
296,Bolivar,US,37.6145,-93.4105,62.91,69,100,8.57,overcast clouds
297,Oktyabrskiy,RU,54.4815,53.471,35.89,97,100,16.35,overcast clouds
298,Camacha,PT,33.0833,-16.3333,61.56,67,75,11.5,broken clouds
299,Ondjiva,AO,-17.0667,15.7333,72.27,69,100,6.08,overcast clouds
300,Aden,YE,12.7794,45.0367,78.73,62,1,12.15,clear sky
301,Caravelas,BR,-17.7125,-39.2481,72.18,93,48,1.36,scattered clouds
302,Acapulco,MX,16.8634,-99.8901,82.22,74,40,3.44,scattered clouds
303,Vanderhoof,CA,54.0166,-124.0198,23.58,72,8,3.8,clear sky
304,Mangrol,IN,21.1167,70.1167,69.75,60,25,8.19,scattered clouds
305,Sao Borja,BR,-28.6606,-56.0044,71.94,62,74,10.2,broken clouds
306,Guerrero Negro,MX,27.9769,-114.0611,62.96,81,66,13.0,broken clouds
307,Peleduy,RU,59.6289,112.7406,28.72,95,100,14.76,snow
308,Saldanha,ZA,-33.0117,17.9442,60.85,79,93,14.56,overcast clouds
309,Ardakan,IR,32.31,54.0175,41.38,60,0,0.98,clear sky
310,Port Hardy,CA,50.6996,-127.4199,39.2,100,90,2.3,overcast clouds
311,Marfino,RU,55.7028,37.3822,28.09,87,20,11.18,few clouds
312,Astana,KZ,51.1801,71.446,24.75,80,90,15.66,overcast clouds
313,Coahuayana,MX,18.7333,-103.6833,80.08,89,90,0.58,overcast clouds
314,Iqaluit,CA,63.7506,-68.5145,1.13,77,40,15.01,scattered clouds
315,Kardla,EE,58.9978,22.7492,25.05,76,85,2.28,overcast clouds
316,Moundsville,US,39.9203,-80.7431,42.15,79,40,2.37,scattered clouds
317,Makakilo City,US,21.3469,-158.0858,73.29,65,75,11.5,broken clouds
318,Bafoulabe,ML,13.8065,-10.8321,81.5,15,54,7.36,broken clouds
319,Warwick,US,41.7001,-71.4162,35.69,56,1,0.0,clear sky
320,Arroyo Grande,US,35.1186,-120.5907,55.04,79,90,8.05,overcast clouds
