City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Bilma,NE,67.77,clear sky,18.6853,12.9164,Expeditions Ténére voyages
197,Cravo Norte,CO,78.73,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
198,Gushikawa,JP,69.8,few clouds,26.3544,127.8686,Kirari Guest House
199,Buala,SB,84.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
202,Kasongo-Lunda,CD,68.05,overcast clouds,-6.4667,16.8167,
203,Sao Filipe,CV,74.95,overcast clouds,14.8961,-24.4956,Hotel Xaguate
204,Mogadishu,SO,79.07,few clouds,2.0371,45.3438,Hotel Juba
211,Kavaratti,IN,81.16,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
212,Kabo,CF,74.97,overcast clouds,7.6994,18.629,
214,Port-Gentil,GA,79.34,overcast clouds,-0.7193,8.7815,Fengshui Residence
215,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
216,Biak,ID,82.36,light rain,-0.9131,122.8766,Penginapan Kim
217,Ebolowa,CM,69.04,overcast clouds,2.9,11.15,Florence Hotel Ebolowa
222,Chapada Dos Guimaraes,BR,73.06,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
223,Itoman,JP,70.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
224,Cartagena,CO,80.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
225,Samarai,PG,84.07,broken clouds,-10.6167,150.6667,Nuli Sapi
226,Soe,ID,69.53,moderate rain,-9.8607,124.284,Dena Hotel
229,Kaduna,NG,66.18,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
230,Durgapur,IN,70.74,overcast clouds,23.4833,87.3167,OYO 23635 Sher E Bengal
231,Lakes Entrance,AU,67.15,scattered clouds,-37.8811,147.981,The Esplanade Resort & Spa
232,Manado,ID,84.97,few clouds,1.487,124.8455,Aryaduta Hotel
235,Cidreira,BR,68.61,broken clouds,-30.1811,-50.2056,Hotel Castelo
236,Arlit,NE,68.92,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
241,Maxixe,MZ,74.66,broken clouds,-23.8597,35.3472,Oceano
242,Carutapera,BR,76.55,overcast clouds,-1.195,-46.02,Lidera
243,Puerto Leguizamo,CO,71.56,overcast clouds,-0.1934,-74.7819,la casona de juancho
248,Pozo Colorado,PY,78.08,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
249,Richards Bay,ZA,70.41,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
250,Bamako,ML,74.46,scattered clouds,12.65,-8.0,Hôtel l’Amitié Bamako
